Nama_Citra,Label_Asli,Label_Prediksi,Status
tinggi_clahe_01_flipV_r0.png,tinggi,tinggi,Benar
tinggi_clahe_02_flipV_r0.png,tinggi,tinggi,Benar
tinggi_clahe_02_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_02_orig_r0.png,tinggi,tinggi,Benar
tinggi_clahe_02_orig_r270.png,tinggi,tinggi,Benar
tinggi_clahe_03_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_05_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_05_orig_r90.png,tinggi,tinggi,Benar
tinggi_clahe_06_flipH_r90.png,tinggi,tinggi,Benar
tinggi_clahe_06_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_06_orig_r270.png,tinggi,tinggi,Benar
tinggi_clahe_07_flipV_r0.png,tinggi,tinggi,Benar
tinggi_clahe_08_orig_r90.png,tinggi,tinggi,Benar
tinggi_clahe_09_orig_r270.png,tinggi,tinggi,Benar
tinggi_clahe_10_flipH_r0.png,tinggi,tinggi,Benar
tinggi_clahe_12_flipH_r90.png,tinggi,tinggi,Benar
tinggi_clahe_13_flipH_r90.png,tinggi,tinggi,Benar
tinggi_clahe_13_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_14_flipH_r90.png,tinggi,tinggi,Benar
tinggi_clahe_14_orig_r90.png,tinggi,tinggi,Benar
tinggi_clahe_16_flipH_r0.png,tinggi,tinggi,Benar
tinggi_clahe_16_flipV_r90.png,tinggi,tinggi,Benar
tinggi_clahe_16_orig_r270.png,tinggi,tinggi,Benar
tinggi_clahe_17_orig_r0.png,tinggi,tinggi,Benar
tinggi_clahe_20_flipH_r270.png,tinggi,tinggi,Benar
tinggi_clahe_20_flipV_r0.png,tinggi,tinggi,Benar
tinggi_clahe_20_flipV_r90.png,tinggi,tinggi,Benar
tinggi_clahe_21_flipV_r0.png,tinggi,tinggi,Benar
tinggi_clahe_21_flipV_r90.png,tinggi,tinggi,Benar
tinggi_clahe_22_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_22_flipV_r90.png,tinggi,tinggi,Benar
tinggi_clahe_24_orig_r270.png,tinggi,tinggi,Benar
tinggi_clahe_25_flipH_r0.png,tinggi,tinggi,Benar
tinggi_clahe_26_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_31_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_32_flipH_r0.png,tinggi,tinggi,Benar
tinggi_clahe_32_flipV_r0.png,tinggi,tinggi,Benar
tinggi_clahe_32_orig_r90.png,tinggi,tinggi,Benar
tinggi_clahe_34_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_34_flipV_r90.png,tinggi,tinggi,Benar
tinggi_clahe_35_flipH_r90.png,tinggi,tinggi,Benar
tinggi_clahe_35_flipV_r0.png,tinggi,tinggi,Benar
tinggi_clahe_37_flipV_r0.png,tinggi,tinggi,Benar
tinggi_clahe_37_orig_r0.png,tinggi,tinggi,Benar
tinggi_clahe_37_orig_r90.png,tinggi,tinggi,Benar
tinggi_clahe_39_flipH_r90.png,tinggi,tinggi,Benar
tinggi_clahe_39_flipV_r270.png,tinggi,tinggi,Benar
tinggi_clahe_39_flipV_r90.png,tinggi,tinggi,Benar
tinggi_clahe_39_orig_r90.png,tinggi,tinggi,Benar
tinggi_clahe_40_flipH_r270.png,tinggi,tinggi,Benar
sedang_clahe_01_flipH_r270.png,sedang,sedang,Benar
sedang_clahe_01_flipV_r270.png,sedang,sedang,Benar
sedang_clahe_03_flipH_r0.png,sedang,sedang,Benar
sedang_clahe_03_flipH_r90.png,sedang,sedang,Benar
sedang_clahe_03_flipV_r0.png,sedang,sedang,Benar
sedang_clahe_03_flipV_r270.png,sedang,sedang,Benar
sedang_clahe_03_orig_r90.png,sedang,sedang,Benar
sedang_clahe_05_flipH_r90.png,sedang,sedang,Benar
sedang_clahe_06_flipH_r90.png,sedang,sedang,Benar
sedang_clahe_06_orig_r90.png,sedang,sedang,Benar
sedang_clahe_07_flipH_r0.png,sedang,sedang,Benar
sedang_clahe_07_flipV_r0.png,sedang,sedang,Benar
sedang_clahe_07_flipV_r90.png,sedang,sedang,Benar
sedang_clahe_08_flipH_r90.png,sedang,sedang,Benar
sedang_clahe_08_flipV_r0.png,sedang,sedang,Benar
sedang_clahe_08_flipV_r90.png,sedang,sedang,Benar
sedang_clahe_09_flipV_r0.png,sedang,sedang,Benar
sedang_clahe_10_flipH_r270.png,sedang,sedang,Benar
sedang_clahe_12_flipV_r90.png,sedang,sedang,Benar
sedang_clahe_12_orig_r90.png,sedang,sedang,Benar
sedang_clahe_15_flipH_r90.png,sedang,sedang,Benar
sedang_clahe_15_orig_r90.png,sedang,sedang,Benar
sedang_clahe_16_flipH_r0.png,sedang,sedang,Benar
sedang_clahe_16_flipV_r270.png,sedang,sedang,Benar
sedang_clahe_16_orig_r0.png,sedang,sedang,Benar
sedang_clahe_17_flipH_r0.png,sedang,sedang,Benar
sedang_clahe_18_flipH_r0.png,sedang,sedang,Benar
sedang_clahe_18_flipV_r270.png,sedang,sedang,Benar
sedang_clahe_19_orig_r90.png,sedang,sedang,Benar
sedang_clahe_20_flipV_r270.png,sedang,sedang,Benar
sedang_clahe_21_flipV_r0.png,sedang,sedang,Benar
sedang_clahe_21_orig_r0.png,sedang,sedang,Benar
sedang_clahe_22_flipH_r0.png,sedang,sedang,Benar
sedang_clahe_25_flipH_r0.png,sedang,sedang,Benar
sedang_clahe_25_flipH_r90.png,sedang,sedang,Benar
sedang_clahe_25_flipV_r270.png,sedang,sedang,Benar
sedang_clahe_26_flipH_r270.png,sedang,sedang,Benar
sedang_clahe_28_orig_r270.png,sedang,sedang,Benar
sedang_clahe_29_orig_r0.png,sedang,sedang,Benar
sedang_clahe_34_flipH_r270.png,sedang,sedang,Benar
sedang_clahe_35_flipV_r0.png,sedang,sedang,Benar
sedang_clahe_37_flipH_r0.png,sedang,sedang,Benar
sedang_clahe_37_flipH_r90.png,sedang,sedang,Benar
sedang_clahe_38_flipH_r90.png,sedang,sedang,Benar
sedang_clahe_38_orig_r0.png,sedang,sedang,Benar
sedang_clahe_38_orig_r90.png,sedang,sedang,Benar
sedang_clahe_39_flipH_r0.png,sedang,sedang,Benar
sedang_clahe_40_flipH_r90.png,sedang,sedang,Benar
sedang_clahe_40_orig_r270.png,sedang,sedang,Benar
rendah_clahe_01_orig_r0.png,rendah,rendah,Benar
rendah_clahe_02_flipV_r270.png,rendah,rendah,Benar
rendah_clahe_03_flipV_r0.png,rendah,rendah,Benar
rendah_clahe_04_orig_r90.png,rendah,rendah,Benar
rendah_clahe_05_flipH_r90.png,rendah,rendah,Benar
rendah_clahe_05_orig_r90.png,rendah,rendah,Benar
rendah_clahe_06_orig_r270.png,rendah,rendah,Benar
rendah_clahe_07_flipH_r0.png,rendah,rendah,Benar
rendah_clahe_07_flipH_r270.png,rendah,rendah,Benar
rendah_clahe_07_orig_r270.png,rendah,rendah,Benar
rendah_clahe_09_orig_r0.png,rendah,rendah,Benar
rendah_clahe_11_flipH_r0.png,rendah,rendah,Benar
rendah_clahe_12_flipH_r90.png,rendah,rendah,Benar
rendah_clahe_14_orig_r270.png,rendah,rendah,Benar
rendah_clahe_14_orig_r90.png,rendah,rendah,Benar
rendah_clahe_16_flipH_r90.png,rendah,rendah,Benar
rendah_clahe_16_flipV_r0.png,rendah,rendah,Benar
rendah_clahe_16_orig_r270.png,rendah,rendah,Benar
rendah_clahe_18_flipH_r270.png,rendah,rendah,Benar
rendah_clahe_18_orig_r0.png,rendah,rendah,Benar
rendah_clahe_19_flipV_r0.png,rendah,rendah,Benar
rendah_clahe_20_flipV_r0.png,rendah,rendah,Benar
rendah_clahe_20_orig_r0.png,rendah,rendah,Benar
rendah_clahe_21_flipV_r90.png,rendah,rendah,Benar
rendah_clahe_22_flipH_r0.png,rendah,rendah,Benar
rendah_clahe_22_flipV_r0.png,rendah,rendah,Benar
rendah_clahe_23_flipV_r90.png,rendah,rendah,Benar
rendah_clahe_24_orig_r90.png,rendah,rendah,Benar
rendah_clahe_25_flipV_r0.png,rendah,rendah,Benar
rendah_clahe_25_flipV_r90.png,rendah,rendah,Benar
rendah_clahe_25_orig_r0.png,rendah,rendah,Benar
rendah_clahe_25_orig_r270.png,rendah,rendah,Benar
rendah_clahe_26_flipV_r90.png,rendah,rendah,Benar
rendah_clahe_27_flipH_r270.png,rendah,rendah,Benar
rendah_clahe_27_flipV_r0.png,rendah,rendah,Benar
