Contrast,Correlation,Energy,Homogeneity,edge_pixels,edge_ratio,label
0.4826455680990874,0.4664230713716488,0.2143277144924695,0.2118821343592181,0.8623188405797101,0.9179261526688348,tinggi
0.1793102466277248,0.8249875083805787,0.4811225274624195,0.6237930425790008,0.433876811594203,0.6625761840990463,rendah
0.4679039276384861,0.4659562325912869,0.5902701908770993,0.5056803896313795,0.4139492753623187,0.6506873650550712,rendah
0.8616904050511065,0.0,0.5880688907321439,0.4488972772201478,0.5887681159420289,0.7548990133646725,tinggi
0.5503506901179394,0.3577963337019145,0.2221197475597023,0.2464201738159239,0.9157608695652174,0.9497936538303864,tinggi
0.6133041663377997,0.4494792774955716,0.3186946102815486,0.3421405056539495,0.7780797101449276,0.8677198064992211,tinggi
0.4630323552586211,0.5184094853062415,0.4570236481859133,0.4000324552003782,0.4157608695652174,0.6517805897947472,rendah
0.7189807198074402,0.1627815814707727,0.5515899950621215,0.5704569612769941,0.4356884057971014,0.6636420782202302,rendah
0.6522947896012731,0.2454033786529965,0.6156618555256781,0.5307712233907083,0.5153985507246376,0.7111700237776382,sedang
0.8342511542473098,0.1216852818786105,0.2230653047778545,0.1556778662955906,0.717391304347826,0.8315613982344422,sedang
0.2943051077062218,0.702996739171299,0.5084126089233116,0.5060435644547212,0.6793478260869564,0.808876984886168,tinggi
0.1089859501775638,0.8741822114849978,0.6243533933878851,0.6658026440969689,0.4782608695652174,0.6890322227992021,rendah
0.3984276483674089,0.544556481787895,0.7052988238923756,0.602475331063328,0.4248188405797101,0.6571647216376507,sedang
0.5394741962065148,0.4024746509671804,0.4079041877463911,0.3948904050328519,0.592391304347826,0.7570581322255323,sedang
0.3793002793417812,0.5848630141023481,0.1279737071531581,0.2514487067524271,0.8034420289855072,0.8828336385252399,tinggi
0.518655948315449,0.425663711233442,0.284464632072849,0.4138074370139524,0.7182971014492753,0.8320806799857882,sedang
0.5514726235357328,0.4155898093705037,0.3441377273990973,0.2806315554768321,0.5452898550724637,0.7289895870343546,rendah
0.8345343380979497,0.1316752401303897,0.4607830472104979,0.3064837605093942,0.6721014492753624,0.8045587471644484,tinggi
0.736456980911543,0.3309373567389588,0.4597125035315788,0.3865505750683606,0.6177536231884059,0.7721719642515511,tinggi
0.4156527633256905,0.530652816128514,0.6872496937912924,0.5037658808636714,0.3867753623188407,0.6345076389078685,rendah
0.0894118331569622,0.8759625917448144,0.7578219571888418,0.7498753239637459,0.5226449275362318,0.7154882614993578,rendah
0.5761325727590393,0.3064739286715063,0.5980608870928954,0.598176077399426,0.5090579710144928,0.7073710678072646,sedang
0.7849096518311637,0.1523602159456398,0.3345068130330464,0.2556827314892924,0.5778985507246376,0.748421656782093,sedang
0.7733483366355082,0.214980073806517,0.317825093932802,0.1665705899538636,0.6847826086956522,0.8121293284867037,tinggi
0.5514726235357328,0.4155898093705037,0.3441377273990973,0.2806315554768321,0.5407608695652174,0.726283855803657,rendah
0.5217005122718527,0.4950261519539243,0.4256617627694385,0.4032157131074942,0.4791666666666666,0.68957883516904,rendah
0.4965226815288884,0.5288753344893689,0.2038867935018338,0.335435940313225,0.5398550724637682,0.725737243433819,rendah
0.4407036707476484,0.5779772364814253,0.4825938525669517,0.3252982756833287,0.6467391304347826,0.7894449151384296,rendah
